Time(hh:mm:ss),Temperature(C),1,2,3,4,5,6,7,8,9,10,11,12,,,,
0:00,37.2,192.325,195.053,194.489,198.244,220.356,215.66,212.767,235.566,246.629,193.133,205.309,243.209,,,,
,,194.629,196.687,199.357,220.934,205.796,208.715,212.551,212.464,259.912,247.896,236.614,211.552,,,,
,,194.455,196.689,194.067,220.443,197.33,206.524,209.106,242.255,257.308,251.692,248.243,263.324,,,,
,,210.39,191.143,209.613,240.722,225.313,228.671,277.043,299.816,285.629,256.564,272.986,255.176,,,,
,,206.295,207.768,209,249.845,226.706,234.968,278.346,267.54,281.975,276.793,218.817,296.838,,,,
,,213.577,204.281,206.778,251.916,219.333,237.959,292.066,300.235,272.01,286.792,280.365,240.287,,,,
,,315.46,309.731,317.99,318.336,302.875,306.689,354.455,374.743,391.306,285.251,264.982,264.808,,,,
,,181.607,173.674,182.686,181.085,181.899,199.523,187.786,200.837,203.858,59.007,75.884,65.131,,,,
,,,,,,,,,,,,,,,,,
1:00,36.9,188.933,192.652,194.826,201.664,221.966,214.328,218.1,239.947,255.784,191.826,203.677,241.569,,,,
,,190.124,194.568,196.038,218.968,205.547,205.727,219.205,221.322,266.075,252.734,247.01,224.651,,,,
,,191.354,194.332,193.762,220.761,199.164,204.82,218.807,249.572,256.755,253.104,253.389,270.555,,,,
,,213.266,186.866,210.258,250.89,226.203,232.448,295.91,305.376,296.418,265.379,285.922,262.161,,,,
,,207.993,209.512,207.803,250.621,226.458,235.772,298.797,287.12,293.254,288.692,229.58,319.269,,,,
,,212.457,200.698,209.125,258.947,217.38,241.898,311.583,315.18,292.689,296.191,287.456,256.386,,,,
,,335.534,334.827,344.177,341.497,325.73,331.433,384.395,410.162,434.574,298.293,277.668,283.545,,,,
,,178.092,170.695,182.302,178.003,178.973,193.189,185.087,197.543,198.953,57.868,71.794,58.599,,,,
,,,,,,,,,,,,,,,,,
2:00,37,189.384,191.901,190.232,205.037,220.615,220.552,222.997,253.675,265.379,190.229,199.602,233.892,,,,
,,190.51,189.804,192.638,218.49,205.105,206.464,226.213,228.371,274.144,257.579,252.954,228.009,,,,
,,185.273,191.079,193.943,220.612,198.504,203.807,220.248,254.796,267.013,263.111,259.675,285.589,,,,
,,218.092,192.385,214.252,260.562,227.755,242.615,316.153,324.246,319.564,266.236,289.079,272.924,,,,
,,214.187,206.961,208.183,263.033,232.23,240.948,320.705,300.575,321.24,306.284,243.676,339.747,,,,
,,214.441,206.803,208.865,269.046,227.516,247.075,325.451,335.209,309.793,316.079,306.138,285.577,,,,
,,364.504,361.106,364.956,368.297,358.628,364.821,423.674,463.189,477.967,320.476,293.004,309.712,,,,
,,172.836,165.688,177.647,173.995,170.528,190.312,181.121,192.222,194.093,58.469,65.314,57.012,,,,
,,,,,,,,,,,,,,,,,
3:00,37,192.01,189.97,188.714,211.282,225.556,221.637,237.06,263.077,279.804,189.198,198.441,234.137,,,,
,,188.694,189.902,193.686,221.918,212.224,209.537,233.258,234.096,287.006,271.243,267.362,248.978,,,,
,,190.922,193.417,194.42,224.143,197.78,207.956,229.822,267.295,273.063,275.926,266.213,298.833,,,,
,,224.48,193.573,212.999,274.362,237.411,248.766,340.961,340.874,336.129,278.135,297.473,290.327,,,,
,,219.052,212.465,214.673,275.967,244.63,250.372,346.408,321.493,339.099,325.729,258.299,374.275,,,,
,,221.099,211.84,213.516,281.557,234.122,259.109,357.501,355.545,332.603,333.856,330.489,307.82,,,,
,,403.094,397.126,410.346,408.504,391.675,398.454,472.351,513.811,531.364,344.684,319.392,345.849,,,,
,,171.26,165.206,171.838,170.047,169.017,190.691,177.046,193.374,192.383,58.083,62.199,57.16,,,,
,,,,,,,,,,,,,,,,,
4:00,37,196.724,194.477,197.314,218.256,233.164,225.656,247.41,274.894,298.796,188.99,195.195,232.657,,,,
,,195.645,195.749,194.276,230.476,215.69,214.989,247.556,245.052,296.814,286.078,273.493,260.183,,,,
,,191.833,194.37,197.203,230.268,200.707,207.828,242.369,275.059,291.641,286.839,278.775,322.165,,,,
,,233.319,199.739,222.583,289.509,250.44,259.508,378.051,368.451,365.533,288.746,308.188,305.163,,,,
,,232.162,214.568,220.851,291.627,249.843,265.953,380.079,344.382,364.752,353.61,279.4,409.979,,,,
,,225.657,214.298,217.545,302.837,248.837,269.85,383.546,387.589,365.344,363.555,357.266,337.13,,,,
,,453.388,436.435,442.736,449.559,437.069,437.054,522.505,571.09,593.54,369.121,350.058,384.704,,,,
,,173.069,164.004,172.698,171.074,169.164,186.575,179.704,188.668,191.505,59.337,58.581,58.419,,,,
,,,,,,,,,,,,,,,,,
5:00,37,197.064,194.652,196.249,219.486,234.461,231.154,259.87,286.497,309.725,183.575,189.96,227.168,,,,
,,193.119,191.108,191.944,235.519,217.383,213.495,255.29,253.254,312.215,295.607,286.266,276.253,,,,
,,195.678,193.408,199.074,238.736,205.593,213.145,251.711,280.692,301.245,297.183,288.185,335.311,,,,
,,242.015,202.127,223.052,302.706,259.054,271.795,406.444,390.816,385.653,302.671,319.958,317.772,,,,
,,234.437,218.106,221.61,315.419,262.426,270.377,405.013,361.214,388.822,374.035,297.543,447.342,,,,
,,233.302,217.229,221.73,316.458,254.644,280.779,415.022,411.994,386.052,377.651,377.562,364.283,,,,
,,484.426,472.774,481.006,484.799,476.058,474.302,566.661,616.942,647.918,397.144,367.035,414.726,,,,
,,167.092,161.815,165.329,164.689,166.962,183.148,174.981,187.471,187.305,57.223,56.325,57.581,,,,
,,,,,,,,,,,,,,,,,
6:00,37,204.368,196.048,196.682,230.828,241.731,234.853,275.677,301.764,327.998,184.498,189.156,227.752,,,,
,,197.313,192.694,196.385,245.599,223.444,220.658,271.216,269.381,326.396,308.814,299.56,292.158,,,,
